eventTime,eventName,eventSource,awsRegion,sourceIPAddress,userAgent,recipientAccountId,requestID,eventID,responseElements,managementEvent,hour,eventName_code,eventSource_code,awsRegion_code,sourceIPAddress_code,userAgent_code
2025-08-21 23:55:04+00:00,GenerateDataKey,kms.amazonaws.com,ap-south-1,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,289979559671,d2cd2ae4-2f5e-453a-aa2c-00f2c6287351,2b430eab-9a14-3d9d-a69e-5e365debf450,,True,23,2,0,0,1,1
2025-08-21 23:59:59+00:00,GenerateDataKey,kms.amazonaws.com,ap-south-1,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,289979559671,f1cb7241-8f46-4385-82f0-0bcb8f770def,4ad60d8c-62f7-3fb3-bf40-922f2b01d2db,,True,23,2,0,0,1,1
2025-08-22 00:04:44+00:00,GenerateDataKey,kms.amazonaws.com,ap-south-1,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,289979559671,b58c1d22-cd71-4001-a79e-90eb7c611e9f,3d67fcb8-c6c6-346e-8105-9190c8632f5f,,True,0,2,0,0,1,1
2025-08-22 00:04:11+00:00,GenerateDataKey,kms.amazonaws.com,ap-south-1,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,289979559671,bf88a60f-7f47-4e78-b441-77187b5aa527,392eb629-a701-3d45-9f6e-cbc7ac61c049,,True,0,2,0,0,1,1
2025-08-22 00:04:22+00:00,GetBucketAcl,s3.amazonaws.com,ap-south-1,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,289979559671,9KHE4Q924SRRY9AH,1dd7c196-5f96-3be3-9471-352ec83b9317,,True,0,3,1,0,1,1
2025-08-22 00:04:27+00:00,GenerateDataKey,kms.amazonaws.com,ap-south-1,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,289979559671,84294e53-c0f3-4001-992b-60b0489b143f,1ee9519d-df88-32b4-a71c-b3694750518f,,True,0,2,0,0,1,1
2025-08-22 00:04:47+00:00,GetBucketAcl,s3.amazonaws.com,ap-south-1,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,289979559671,KVQY5AZM6GVJ3KF8,f2a1d12c-dd67-3bb7-b664-7f5c828127da,,True,0,3,1,0,1,1
2025-08-22 00:04:54+00:00,GetBucketAcl,s3.amazonaws.com,ap-south-1,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,289979559671,C8GE12NYNFKZH4D3,fe3ed73e-5299-3782-9fa4-7237f931e6fa,,True,0,3,1,0,1,1
2025-08-22 00:04:56+00:00,GetBucketAcl,s3.amazonaws.com,ap-south-1,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,289979559671,5TKJ8535MYPC9PAQ,a7620229-fec4-3017-851c-82683f93a61d,,True,0,3,1,0,1,1
2025-08-22 00:04:16+00:00,GetBucketAcl,s3.amazonaws.com,ap-south-1,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,289979559671,JGQYJZPX4NYRPWM7,1f2fad6d-0d83-389a-a243-929af4a10cef,,True,0,3,1,0,1,1
